"_","Id","Name","LearningCourseId","LearningCourse","LearningCourse.Name","HCG_External_ID__c"
"[CourseOffering]","0P0O40000000ITsKAM","361 - Developmental Psychology","0vYO40000000J37MAE","[LearningCourse]","Developmental Psychology","2082297"
"[CourseOffering]","0P0O40000000ITtKAM","246 - European Union Policies in Practice","0vYO40000000HSlMAM","[LearningCourse]","European Union Policies in Practice","2091827"
"[CourseOffering]","0P0O40000000ITuKAM","333 - Systems of the Welfare State in the EU: Origins, Present, and Future","0vYO40000000ILoMAM","[LearningCourse]","Systems of the Welfare State in the EU: Origins, Present, and Future","2091831"
"[CourseOffering]","0P0O40000000ITvKAM","320 - Environment, Energy, and the European City: EU and the Urban Challenges of 2050","0vYO40000000IYMMA2","[LearningCourse]","Environment, Energy, and the European City: EU and the Urban Challenges of 2050","2091835"
"[CourseOffering]","0P0O40000000ITwKAM","101 - German Language in Context: Novice Abroad I","0vYO40000000HRlMAM","[LearningCourse]","German Language in Context: Novice Abroad I","2091843"
"[CourseOffering]","0P0O40000000ITxKAM","101 - German Language in Context: Novice Abroad I","0vYO40000000HRlMAM","[LearningCourse]","German Language in Context: Novice Abroad I","2091846"
"[CourseOffering]","0P0O40000000ITyKAM","353 - German Language in Context: Independent Abroad III","0vYO40000000HRhMAM","[LearningCourse]","German Language in Context: Independent Abroad III","2091853"
"[CourseOffering]","0P0O40000000ITzKAM","344 - Europe: The Dynamics of Integration","0vYO40000000HRcMAM","[LearningCourse]","Europe: The Dynamics of Integration","2091859"
"[CourseOffering]","0P0O40000000IU0KAM","420 - Fractured Landscapes of European Memory","0vYO40000000HiAMAU","[LearningCourse]","Fractured Landscapes of European Memory","2091863"
"[CourseOffering]","0P0O40000000IU1KAM","351 - Social Entrepreneurship and Social Innovation in Europe","0vYO40000000HTRMA2","[LearningCourse]","Social Entrepreneurship and Social Innovation in Europe","2091867"
"[CourseOffering]","0P0O40000000IU2KAM","332 - The European Union and the Muslim World","0vYO40000000HSoMAM","[LearningCourse]","The European Union and the Muslim World","2091870"
"[CourseOffering]","0P0O40000000IU3KAM","370 - EU- U.S. Relations: A Multi-Dimensional Partnership","0vYO40000000HRdMAM","[LearningCourse]","EU- U.S. Relations: A Multi-Dimensional Partnership","2091874"
"[CourseOffering]","0P0O40000000IU4KAM","481 - The Power and Fragility of Human Rights in Modern Society: A European Perspective on Law Politics and Global Order","0vYO40000000HReMAM","[LearningCourse]","The Power and Fragility of Human Rights in Modern Society: A European Perspective on Law Politics and Global Order","2091878"
"[CourseOffering]","0P0O40000000IU5KAM","250 - EU Studies Integrative Seminar","0vYO40000000HQ2MAM","[LearningCourse]","EU Studies Integrative Seminar","2091882"
"[CourseOffering]","0P0O40000000IU6KAM","350 - EU Studies Integrative Seminar","0vYO40000000HQ3MAM","[LearningCourse]","EU Studies Integrative Seminar","2091886"
"[CourseOffering]","0P0O40000000IU7KAM","450 - EU Studies Integrative Seminar","0vYO40000000HQ4MAM","[LearningCourse]","EU Studies Integrative Seminar","2091890"
"[CourseOffering]","0P0O40000000IU8KAM","311 - Cross Cultural Psychology","0vYO40000000JGFMA2","[LearningCourse]","Cross Cultural Psychology","2151331"
"[CourseOffering]","0P0O40000000IU9KAM","470 - Sociolinguistics of Spanish","0vYO40000000JIlMAM","[LearningCourse]","Sociolinguistics of Spanish","2160652"
"[CourseOffering]","0P0O40000000IUAKA2","342 - Finance and Banking in the European Union","0vYO40000000HiBMAU","[LearningCourse]","Finance and Banking in the European Union","2161267"
"[CourseOffering]","0P0O40000000IUBKA2","246 - European Union Policies in Practice","0vYO40000000HSlMAM","[LearningCourse]","European Union Policies in Practice","2161279"
"[CourseOffering]","0P0O40000000IUCKA2","333 - Systems of the Welfare State in the EU: Origins, Present, and Future","0vYO40000000ILoMAM","[LearningCourse]","Systems of the Welfare State in the EU: Origins, Present, and Future","2161283"
"[CourseOffering]","0P0O40000000IUDKA2","342 - Finance and Banking in the European Union","0vYO40000000HiBMAU","[LearningCourse]","Finance and Banking in the European Union","2161287"
"[CourseOffering]","0P0O40000000IUEKA2","320 - Environment, Energy, and the European City: EU and the Urban Challenges of 2050","0vYO40000000IYMMA2","[LearningCourse]","Environment, Energy, and the European City: EU and the Urban Challenges of 2050","2161291"
"[CourseOffering]","0P0O40000000IUFKA2","101 - German Language in Context: Novice Abroad I","0vYO40000000HRlMAM","[LearningCourse]","German Language in Context: Novice Abroad I","2161299"
"[CourseOffering]","0P0O40000000IUGKA2","101 - German Language in Context: Novice Abroad I","0vYO40000000HRlMAM","[LearningCourse]","German Language in Context: Novice Abroad I","2161302"
"[CourseOffering]","0P0O40000000IUIKA2","353 - German Language in Context: Independent Abroad III","0vYO40000000HRhMAM","[LearningCourse]","German Language in Context: Independent Abroad III","2161316"
"[CourseOffering]","0P0O40000000IUJKA2","344 - Europe: The Dynamics of Integration","0vYO40000000HRcMAM","[LearningCourse]","Europe: The Dynamics of Integration","2161322"
"[CourseOffering]","0P0O40000000IUKKA2","420 - Fractured Landscapes of European Memory","0vYO40000000HiAMAU","[LearningCourse]","Fractured Landscapes of European Memory","2161326"
"[CourseOffering]","0P0O40000000IULKA2","395 - Internship Seminar: Intercultural Management and Global Leadership","0vYO40000000HSmMAM","[LearningCourse]","Internship Seminar: Intercultural Management and Global Leadership","2161338"
"[CourseOffering]","0P0O40000000IUMKA2","332 - The European Union and the Muslim World","0vYO40000000HSoMAM","[LearningCourse]","The European Union and the Muslim World","2161341"
"[CourseOffering]","0P0O40000000IUNKA2","370 - EU- U.S. Relations: A Multi-Dimensional Partnership","0vYO40000000HRdMAM","[LearningCourse]","EU- U.S. Relations: A Multi-Dimensional Partnership","2161345"
"[CourseOffering]","0P0O40000000IUOKA2","481 - The Power and Fragility of Human Rights in Modern Society: A European Perspective on Law Politics and Global Order","0vYO40000000HReMAM","[LearningCourse]","The Power and Fragility of Human Rights in Modern Society: A European Perspective on Law Politics and Global Order","2161349"
"[CourseOffering]","0P0O40000000IUPKA2","350 - EU Studies Integrative Seminar","0vYO40000000HQ3MAM","[LearningCourse]","EU Studies Integrative Seminar","2161357"
"[CourseOffering]","0P0O40000000IUQKA2","350 - EU Studies Integrative Seminar","0vYO40000000HQ3MAM","[LearningCourse]","EU Studies Integrative Seminar","2245281"
"[CourseOffering]","0P0O40000000IUnKAM","450 - EU Studies Integrative Seminar","0vYO40000000HQ4MAM","[LearningCourse]","EU Studies Integrative Seminar","2161361"
"[CourseOffering]","0P0O40000000IUoKAM","352 - Power and Protest: Apartheid to Present","0vYO40000000G1SMAU","[LearningCourse]","Power and Protest: Apartheid to Present","2162442"
"[CourseOffering]","0P0O40000000IUpKAM","332 - The Impact of Globalization on Health and Development","0vYO40000000G1UMAU","[LearningCourse]","The Impact of Globalization on Health and Development","2162444"
"[CourseOffering]","0P0O40000000IUqKAM","327 - The Narrative of the Rainbow Nation: A Political History of Post-Apartheid South Africa","0vYO40000000GxGMAU","[LearningCourse]","The Narrative of the Rainbow Nation: A Political History of Post-Apartheid South Africa","2162446"
"[CourseOffering]","0P0O40000000IUrKAM","311 - Cross Cultural Psychology","0vYO40000000J6bMAE","[LearningCourse]","Cross Cultural Psychology","2177140"
"[CourseOffering]","0P0O40000000IUsKAM","340 - Public Health Dynamics in Southern Africa","0vYO40000000JASMA2","[LearningCourse]","Public Health Dynamics in Southern Africa","2162450"
"[CourseOffering]","0P0O40000000IUtKAM","335 - Inequality and Sustainable Development in Cape Town","0vYO40000000JJEMA2","[LearningCourse]","Inequality and Sustainable Development in Cape Town","2162452"
"[CourseOffering]","0P0O40000000IUuKAM","325 - The State of the Art: Contemporary Italian Artists from 1945 to Present","0vYO40000000KpnMAE","[LearningCourse]","The State of the Art: Contemporary Italian Artists from 1945 to Present","2178971"
"[CourseOffering]","0P0O40000000IUvKAM","340 - Cracking the Code: Leonardo da Vinci and Renaissance Art in Milan","0vYO40000000Ez0MAE","[LearningCourse]","Cracking the Code: Leonardo da Vinci and Renaissance Art in Milan","2179493"
"[CourseOffering]","0P0O40000000IUwKAM","340 - Cracking the Code: Leonardo da Vinci and Renaissance Art in Milan","0vYO40000000Ez0MAE","[LearningCourse]","Cracking the Code: Leonardo da Vinci and Renaissance Art in Milan","2179494"
"[CourseOffering]","0P0O40000000IUxKAM","315 - Urban Design and Sustainability","0vYO40000000IvBMAU","[LearningCourse]","Urban Design and Sustainability","2179503"
"[CourseOffering]","0P0O40000000IWPKA2","395 - Community-Based Learning Seminar","0vYO40000000YL4MAM","[LearningCourse]","Community-Based Learning Seminar","2179506"
